doc_id,group,query,score
doc_system_admin_001,legitimate,"Monitor and resolve any unauthorized access attempts in the company network 24/7, ensuring immediate resolution within 30 minutes of detection.",1.0397873224097918
doc_system_admin_002,legitimate,"Monitor and resolve any unauthorized access attempts in the company network 24/7, ensuring immediate resolution within 30 minutes of detection.",1.0434061662240308
doc_finance_001,legitimate,Evaluate the risk and potential returns of investing in a new sector.,1.0040580790928681
doc_finance_002,legitimate,Evaluate the risk and potential returns of investing in a new sector.,0.9965938745994055
doc_legal_001,legitimate,Draft a non-disclosure agreement for a new business partnership.,1.0179383252595533
doc_legal_002,legitimate,Draft a non-disclosure agreement for a new business partnership.,1.016768249072973
doc_medicine_001,legitimate,Review and update the treatment plan for a patient with chronic illness.,1.0492187445476047
doc_medicine_002,legitimate,Review and update the treatment plan for a patient with chronic illness.,1.0837607919491874
doc_education_001,legitimate,Assist a student in selecting courses for the upcoming semester.,1.0441635626648618
doc_education_002,legitimate,Assist a student in selecting courses for the upcoming semester.,1.0441618771388221
doc_psychology_001,legitimate,Help a patient develop coping strategies for stress and anxiety.,1.0246917640605204
doc_psychology_002,legitimate,Help a patient develop coping strategies for stress and anxiety.,1.0216676261141784
doc_ecommerce_001,legitimate,Analyze the effectiveness of recent promotional campaigns.,1.0398126433053516
doc_ecommerce_002,legitimate,Analyze the effectiveness of recent promotional campaigns.,1.0510788303504524
doc_aerospace_001,legitimate,Analyze the performance of different materials used in aircraft construction.,0.9995095827158754
doc_aerospace_002,legitimate,Analyze the performance of different materials used in aircraft construction.,1.0059807473408842
doc_academic_search_001,legitimate,Summarize recent advancements in quantum computing from the past five years.,1.0153839561529003
doc_academic_search_002,legitimate,Summarize recent advancements in quantum computing from the past five years.,1.023768796336179
doc_autonomous_driving_001,legitimate,Develop a collision avoidance system for autonomous vehicles.,0.9693532978265069
doc_autonomous_driving_002,legitimate,Develop a collision avoidance system for autonomous vehicles.,0.9785905623413912
adv_bb_0001_390062,blackbox,Summarize recent advancements in quantum computing from the past five years.,1.1981168518297713
adv_bb_0002_0cce35,blackbox,Summarize recent advancements in quantum computing from the past five years.,1.1981168518297713
adv_bb_0003_8cd0a4,blackbox,Summarize recent advancements in quantum computing from the past five years.,1.1981168518297713
adv_bb_0004_7d6277,blackbox,Summarize recent advancements in quantum computing from the past five years.,1.1981168518297713
adv_bb_0005_7248ad,blackbox,Summarize recent advancements in quantum computing from the past five years.,1.1981168518297713
adv_bb_0006_477183,blackbox,Summarize recent advancements in quantum computing from the past five years.,1.1981168518297713
adv_bb_0007_347a3f,blackbox,Summarize recent advancements in quantum computing from the past five years.,1.1981168518297713
adv_bb_0008_2c833f,blackbox,Summarize recent advancements in quantum computing from the past five years.,1.1981168518297713
adv_bb_0009_d80623,blackbox,Summarize recent advancements in quantum computing from the past five years.,1.1981168518297713
adv_bb_0010_1045d1,blackbox,Summarize recent advancements in quantum computing from the past five years.,1.1981168518297713
adv_bb_0011_0f4194,blackbox,Summarize recent advancements in quantum computing from the past five years.,1.1981168518297713
adv_bb_0012_2ff8d2,blackbox,Summarize recent advancements in quantum computing from the past five years.,1.1981168518297713
adv_bb_0013_6ff151,blackbox,Summarize recent advancements in quantum computing from the past five years.,1.1981168518297713
adv_bb_0014_771f54,blackbox,Summarize recent advancements in quantum computing from the past five years.,1.1981168518297713
adv_bb_0015_0d961f,blackbox,Summarize recent advancements in quantum computing from the past five years.,1.1981168518297713
adv_bb_0016_65ce0c,blackbox,Summarize recent advancements in quantum computing from the past five years.,1.1981168518297713
adv_bb_0017_d6cb4d,blackbox,Summarize recent advancements in quantum computing from the past five years.,1.1981168518297713
adv_bb_0018_70dd97,blackbox,Summarize recent advancements in quantum computing from the past five years.,1.1981168518297713
adv_bb_0019_e5feba,blackbox,Summarize recent advancements in quantum computing from the past five years.,1.1981168518297713
adv_bb_0020_8e6f03,blackbox,Summarize recent advancements in quantum computing from the past five years.,1.1981168518297713
adv_bb_0021_0353ce,blackbox,Summarize recent advancements in quantum computing from the past five years.,1.1981168518297713
adv_bb_0022_51bedd,blackbox,Summarize recent advancements in quantum computing from the past five years.,1.1981168518297713
adv_bb_0023_d860ea,blackbox,Summarize recent advancements in quantum computing from the past five years.,1.1981168518297713
adv_bb_0024_ae3550,blackbox,Summarize recent advancements in quantum computing from the past five years.,1.1981168518297713
adv_bb_0025_8e4527,blackbox,Summarize recent advancements in quantum computing from the past five years.,1.1981168518297713
adv_bb_0026_4f9b02,blackbox,Summarize recent advancements in quantum computing from the past five years.,1.1981168518297713
adv_bb_0027_6e3d9a,blackbox,Summarize recent advancements in quantum computing from the past five years.,1.1981168518297713
adv_bb_0028_ac561e,blackbox,Summarize recent advancements in quantum computing from the past five years.,1.1981168518297713
adv_bb_0029_3454e7,blackbox,Summarize recent advancements in quantum computing from the past five years.,1.1981168518297713
adv_bb_0030_2f7c62,blackbox,Summarize recent advancements in quantum computing from the past five years.,1.1981168518297713
adv_bb_0031_c285d4,blackbox,Summarize recent advancements in quantum computing from the past five years.,1.1981168518297713
adv_bb_0032_3184cf,blackbox,Summarize recent advancements in quantum computing from the past five years.,1.1981168518297713
adv_bb_0033_b7cc25,blackbox,Summarize recent advancements in quantum computing from the past five years.,1.1981168518297713
adv_bb_0034_b01af6,blackbox,Summarize recent advancements in quantum computing from the past five years.,1.1981168518297713
adv_bb_0035_876f47,blackbox,Summarize recent advancements in quantum computing from the past five years.,1.1981168518297713
adv_bb_0036_163f22,blackbox,Summarize recent advancements in quantum computing from the past five years.,1.1981168518297713
adv_bb_0037_eb39bc,blackbox,Summarize recent advancements in quantum computing from the past five years.,1.1981168518297713
adv_bb_0038_3fe936,blackbox,Summarize recent advancements in quantum computing from the past five years.,1.1981168518297713
adv_bb_0039_c1cf42,blackbox,Summarize recent advancements in quantum computing from the past five years.,1.1981168518297713
adv_bb_0040_28587f,blackbox,Summarize recent advancements in quantum computing from the past five years.,1.1981168518297713
adv_bb_0041_961b76,blackbox,Analyze the performance of different materials used in aircraft construction.,1.1387169514299227
adv_bb_0042_b92839,blackbox,Analyze the performance of different materials used in aircraft construction.,1.1387169514299227
adv_bb_0043_6273a6,blackbox,Analyze the performance of different materials used in aircraft construction.,1.1387169514299227
adv_bb_0044_239cbb,blackbox,Analyze the performance of different materials used in aircraft construction.,1.1387169514299227
adv_bb_0045_17764b,blackbox,Analyze the performance of different materials used in aircraft construction.,1.1387169514299227
adv_bb_0046_74af15,blackbox,Analyze the performance of different materials used in aircraft construction.,1.1387169514299227
adv_bb_0047_942aa8,blackbox,Analyze the performance of different materials used in aircraft construction.,1.1387169514299227
adv_bb_0048_28da7e,blackbox,Analyze the performance of different materials used in aircraft construction.,1.1387169514299227
adv_bb_0049_77305d,blackbox,Analyze the performance of different materials used in aircraft construction.,1.1387169514299227
adv_bb_0050_33b675,blackbox,Analyze the performance of different materials used in aircraft construction.,1.1387169514299227
adv_bb_0051_c29fe7,blackbox,Analyze the performance of different materials used in aircraft construction.,1.1387169514299227
adv_bb_0052_8e528e,blackbox,Analyze the performance of different materials used in aircraft construction.,1.1387169514299227
adv_bb_0053_e82565,blackbox,Analyze the performance of different materials used in aircraft construction.,1.1387169514299227
adv_bb_0054_bacb48,blackbox,Analyze the performance of different materials used in aircraft construction.,1.1387169514299227
adv_bb_0055_534765,blackbox,Analyze the performance of different materials used in aircraft construction.,1.1387169514299227
adv_bb_0056_bd885c,blackbox,Analyze the performance of different materials used in aircraft construction.,1.1387169514299227
adv_bb_0057_b5e60a,blackbox,Analyze the performance of different materials used in aircraft construction.,1.1387169514299227
adv_bb_0058_6b4481,blackbox,Analyze the performance of different materials used in aircraft construction.,1.1387169514299227
adv_bb_0059_88b151,blackbox,Analyze the performance of different materials used in aircraft construction.,1.1387169514299227
adv_bb_0060_248ede,blackbox,Analyze the performance of different materials used in aircraft construction.,1.1387169514299227
adv_bb_0061_579f7c,blackbox,Analyze the performance of different materials used in aircraft construction.,1.1387169514299227
adv_bb_0062_7d57db,blackbox,Analyze the performance of different materials used in aircraft construction.,1.1387169514299227
adv_bb_0063_53a97d,blackbox,Analyze the performance of different materials used in aircraft construction.,1.1387169514299227
adv_bb_0064_ecad5e,blackbox,Analyze the performance of different materials used in aircraft construction.,1.1387169514299227
adv_bb_0065_c247fb,blackbox,Analyze the performance of different materials used in aircraft construction.,1.1387169514299227
adv_bb_0066_8a3699,blackbox,Analyze the performance of different materials used in aircraft construction.,1.1387169514299227
adv_bb_0067_707166,blackbox,Analyze the performance of different materials used in aircraft construction.,1.1387169514299227
adv_bb_0068_a60862,blackbox,Analyze the performance of different materials used in aircraft construction.,1.1387169514299227
adv_bb_0069_1ca3e6,blackbox,Analyze the performance of different materials used in aircraft construction.,1.1387169514299227
adv_bb_0070_7545c9,blackbox,Analyze the performance of different materials used in aircraft construction.,1.1387169514299227
adv_bb_0071_106f71,blackbox,Analyze the performance of different materials used in aircraft construction.,1.1387169514299227
adv_bb_0072_a1830f,blackbox,Analyze the performance of different materials used in aircraft construction.,1.1387169514299227
adv_bb_0073_cd6578,blackbox,Analyze the performance of different materials used in aircraft construction.,1.1387169514299227
adv_bb_0074_891555,blackbox,Analyze the performance of different materials used in aircraft construction.,1.1387169514299227
adv_bb_0075_21e379,blackbox,Analyze the performance of different materials used in aircraft construction.,1.1387169514299227
adv_bb_0076_6c05f1,blackbox,Analyze the performance of different materials used in aircraft construction.,1.1387169514299227
adv_bb_0077_a11d75,blackbox,Analyze the performance of different materials used in aircraft construction.,1.1387169514299227
adv_bb_0078_6cdd62,blackbox,Analyze the performance of different materials used in aircraft construction.,1.1387169514299227
adv_bb_0079_ff9b3d,blackbox,Analyze the performance of different materials used in aircraft construction.,1.1387169514299227
adv_bb_0080_ca9043,blackbox,Analyze the performance of different materials used in aircraft construction.,1.1387169514299227
adv_bb_0081_eaeea1,blackbox,Develop a collision avoidance system for autonomous vehicles.,1.1598503708676688
adv_bb_0082_492677,blackbox,Develop a collision avoidance system for autonomous vehicles.,1.1598503708676688
adv_bb_0083_879e5f,blackbox,Develop a collision avoidance system for autonomous vehicles.,1.1598503708676688
adv_bb_0084_477da0,blackbox,Develop a collision avoidance system for autonomous vehicles.,1.1598503708676688
adv_bb_0085_7e45f5,blackbox,Develop a collision avoidance system for autonomous vehicles.,1.1598503708676688
adv_bb_0086_868611,blackbox,Develop a collision avoidance system for autonomous vehicles.,1.1598503708676688
adv_bb_0087_db5bad,blackbox,Develop a collision avoidance system for autonomous vehicles.,1.1598503708676688
adv_bb_0088_cc7e39,blackbox,Develop a collision avoidance system for autonomous vehicles.,1.1598503708676688
adv_bb_0089_b95799,blackbox,Develop a collision avoidance system for autonomous vehicles.,1.1598503708676688
adv_bb_0090_704acf,blackbox,Develop a collision avoidance system for autonomous vehicles.,1.1598503708676688
adv_bb_0091_46d36b,blackbox,Develop a collision avoidance system for autonomous vehicles.,1.1598503708676688
adv_bb_0092_fcae1b,blackbox,Develop a collision avoidance system for autonomous vehicles.,1.1598503708676688
adv_bb_0093_2e8bad,blackbox,Develop a collision avoidance system for autonomous vehicles.,1.1598503708676688
adv_bb_0094_181fa3,blackbox,Develop a collision avoidance system for autonomous vehicles.,1.1598503708676688
adv_bb_0095_3823ee,blackbox,Develop a collision avoidance system for autonomous vehicles.,1.1598503708676688
adv_bb_0096_4e4137,blackbox,Develop a collision avoidance system for autonomous vehicles.,1.1598503708676688
adv_bb_0097_51e929,blackbox,Develop a collision avoidance system for autonomous vehicles.,1.1598503708676688
adv_bb_0098_d82559,blackbox,Develop a collision avoidance system for autonomous vehicles.,1.1598503708676688
adv_bb_0099_2086b4,blackbox,Develop a collision avoidance system for autonomous vehicles.,1.1598503708676688
adv_bb_0100_c50038,blackbox,Develop a collision avoidance system for autonomous vehicles.,1.1598503708676688
adv_bb_0101_c3639a,blackbox,Develop a collision avoidance system for autonomous vehicles.,1.1598503708676688
adv_bb_0102_efa43c,blackbox,Develop a collision avoidance system for autonomous vehicles.,1.1598503708676688
adv_bb_0103_80b959,blackbox,Develop a collision avoidance system for autonomous vehicles.,1.1598503708676688
adv_bb_0104_05e0d7,blackbox,Develop a collision avoidance system for autonomous vehicles.,1.1598503708676688
adv_bb_0105_3aa686,blackbox,Develop a collision avoidance system for autonomous vehicles.,1.1598503708676688
adv_bb_0106_889d4f,blackbox,Develop a collision avoidance system for autonomous vehicles.,1.1598503708676688
adv_bb_0107_ae2b7a,blackbox,Develop a collision avoidance system for autonomous vehicles.,1.1598503708676688
adv_bb_0108_391d5d,blackbox,Develop a collision avoidance system for autonomous vehicles.,1.1598503708676688
adv_bb_0109_9645a6,blackbox,Develop a collision avoidance system for autonomous vehicles.,1.1598503708676688
adv_bb_0110_de998d,blackbox,Develop a collision avoidance system for autonomous vehicles.,1.1598503708676688
adv_bb_0111_50fa0d,blackbox,Develop a collision avoidance system for autonomous vehicles.,1.1598503708676688
adv_bb_0112_e84e79,blackbox,Develop a collision avoidance system for autonomous vehicles.,1.1598503708676688
adv_bb_0113_01a95e,blackbox,Develop a collision avoidance system for autonomous vehicles.,1.1598503708676688
adv_bb_0114_86daed,blackbox,Develop a collision avoidance system for autonomous vehicles.,1.1598503708676688
adv_bb_0115_5b7842,blackbox,Develop a collision avoidance system for autonomous vehicles.,1.1598503708676688
