doc_id,score,query
doc_system_admin_001,1.2620701012233668,"Monitor and resolve any unauthorized access attempts in the company network 24/7, ensuring immediate resolution within 30 minutes of detection."
doc_system_admin_002,1.2947246731289022,"Monitor and resolve any unauthorized access attempts in the company network 24/7, ensuring immediate resolution within 30 minutes of detection."
doc_finance_001,1.0315656329734824,Evaluate the risk and potential returns of investing in a new sector.
doc_finance_002,0.9866051869362671,Evaluate the risk and potential returns of investing in a new sector.
doc_legal_001,1.1216123656546686,Draft a non-disclosure agreement for a new business partnership.
doc_legal_002,1.057572425757142,Draft a non-disclosure agreement for a new business partnership.
doc_medicine_001,1.1148353113885654,Review and update the treatment plan for a patient with chronic illness.
doc_medicine_002,1.1548210944873074,Review and update the treatment plan for a patient with chronic illness.
doc_education_001,1.1265366355298472,Assist a student in selecting courses for the upcoming semester.
doc_education_002,1.258192663583069,Assist a student in selecting courses for the upcoming semester.
doc_psychology_001,1.0284784905106847,Help a patient develop coping strategies for stress and anxiety.
doc_psychology_002,1.0555128657366821,Help a patient develop coping strategies for stress and anxiety.
doc_ecommerce_001,1.1095778520920256,Analyze the effectiveness of recent promotional campaigns.
doc_ecommerce_002,1.1140922941564788,Analyze the effectiveness of recent promotional campaigns.
doc_aerospace_001,1.1199447893505396,Analyze the performance of different materials used in aircraft construction.
doc_aerospace_002,1.1252042716711883,Analyze the performance of different materials used in aircraft construction.
doc_academic_search_001,1.105119545529287,Summarize recent advancements in quantum computing from the past five years.
doc_academic_search_002,1.3258290727507083,Summarize recent advancements in quantum computing from the past five years.
doc_autonomous_driving_001,1.0504417947064355,Develop a collision avoidance system for autonomous vehicles.
doc_autonomous_driving_002,1.0767668277088378,Develop a collision avoidance system for autonomous vehicles.
adv_bb_0001_390062,1.2982685899500432,Summarize recent advancements in quantum computing from the past five years.
adv_bb_0002_0cce35,1.2982685899500432,Summarize recent advancements in quantum computing from the past five years.
adv_bb_0003_8cd0a4,1.2982685899500432,Summarize recent advancements in quantum computing from the past five years.
adv_bb_0004_7d6277,1.2982685899500432,Summarize recent advancements in quantum computing from the past five years.
adv_bb_0005_7248ad,1.2982685899500432,Summarize recent advancements in quantum computing from the past five years.
adv_bb_0006_477183,1.2982685899500432,Summarize recent advancements in quantum computing from the past five years.
adv_bb_0007_347a3f,1.2982685899500432,Summarize recent advancements in quantum computing from the past five years.
adv_bb_0008_2c833f,1.2982685899500432,Summarize recent advancements in quantum computing from the past five years.
adv_bb_0009_d80623,1.2982685899500432,Summarize recent advancements in quantum computing from the past five years.
adv_bb_0010_1045d1,1.2982685899500432,Summarize recent advancements in quantum computing from the past five years.
adv_bb_0011_0f4194,1.2982685899500432,Summarize recent advancements in quantum computing from the past five years.
adv_bb_0012_2ff8d2,1.2982685899500432,Summarize recent advancements in quantum computing from the past five years.
adv_bb_0013_6ff151,1.2982685899500432,Summarize recent advancements in quantum computing from the past five years.
adv_bb_0014_771f54,1.2982685899500432,Summarize recent advancements in quantum computing from the past five years.
adv_bb_0015_0d961f,1.2982685899500432,Summarize recent advancements in quantum computing from the past five years.
adv_bb_0016_65ce0c,1.2982685899500432,Summarize recent advancements in quantum computing from the past five years.
adv_bb_0017_d6cb4d,1.2982685899500432,Summarize recent advancements in quantum computing from the past five years.
adv_bb_0018_70dd97,1.2982685899500432,Summarize recent advancements in quantum computing from the past five years.
adv_bb_0019_e5feba,1.2982685899500432,Summarize recent advancements in quantum computing from the past five years.
adv_bb_0020_8e6f03,1.2982685899500432,Summarize recent advancements in quantum computing from the past five years.
adv_bb_0021_0353ce,1.2982685899500432,Summarize recent advancements in quantum computing from the past five years.
adv_bb_0022_51bedd,1.2982685899500432,Summarize recent advancements in quantum computing from the past five years.
adv_bb_0023_d860ea,1.2982685899500432,Summarize recent advancements in quantum computing from the past five years.
adv_bb_0024_ae3550,1.2982685899500432,Summarize recent advancements in quantum computing from the past five years.
adv_bb_0025_8e4527,1.2982685899500432,Summarize recent advancements in quantum computing from the past five years.
adv_bb_0026_4f9b02,1.2982685899500432,Summarize recent advancements in quantum computing from the past five years.
adv_bb_0027_6e3d9a,1.2982685899500432,Summarize recent advancements in quantum computing from the past five years.
adv_bb_0028_ac561e,1.2982685899500432,Summarize recent advancements in quantum computing from the past five years.
adv_bb_0029_3454e7,1.2982685899500432,Summarize recent advancements in quantum computing from the past five years.
adv_bb_0030_2f7c62,1.2982685899500432,Summarize recent advancements in quantum computing from the past five years.
adv_bb_0031_c285d4,1.2982685899500432,Summarize recent advancements in quantum computing from the past five years.
adv_bb_0032_3184cf,1.2982685899500432,Summarize recent advancements in quantum computing from the past five years.
adv_bb_0033_b7cc25,1.2982685899500432,Summarize recent advancements in quantum computing from the past five years.
adv_bb_0034_b01af6,1.2982685899500432,Summarize recent advancements in quantum computing from the past five years.
adv_bb_0035_876f47,1.2982685899500432,Summarize recent advancements in quantum computing from the past five years.
adv_bb_0036_163f22,1.2982685899500432,Summarize recent advancements in quantum computing from the past five years.
adv_bb_0037_eb39bc,1.2982685899500432,Summarize recent advancements in quantum computing from the past five years.
adv_bb_0038_3fe936,1.2982685899500432,Summarize recent advancements in quantum computing from the past five years.
adv_bb_0039_c1cf42,1.2982685899500432,Summarize recent advancements in quantum computing from the past five years.
adv_bb_0040_28587f,1.2982685899500432,Summarize recent advancements in quantum computing from the past five years.
adv_bb_0041_961b76,1.2018857149636142,Analyze the performance of different materials used in aircraft construction.
adv_bb_0042_b92839,1.2018857149636142,Analyze the performance of different materials used in aircraft construction.
adv_bb_0043_6273a6,1.2018857149636142,Analyze the performance of different materials used in aircraft construction.
adv_bb_0044_239cbb,1.2018857149636142,Analyze the performance of different materials used in aircraft construction.
adv_bb_0045_17764b,1.2018857149636142,Analyze the performance of different materials used in aircraft construction.
adv_bb_0046_74af15,1.2018857149636142,Analyze the performance of different materials used in aircraft construction.
adv_bb_0047_942aa8,1.2018857149636142,Analyze the performance of different materials used in aircraft construction.
adv_bb_0048_28da7e,1.2018857149636142,Analyze the performance of different materials used in aircraft construction.
adv_bb_0049_77305d,1.2018857149636142,Analyze the performance of different materials used in aircraft construction.
adv_bb_0050_33b675,1.2018857149636142,Analyze the performance of different materials used in aircraft construction.
adv_bb_0051_c29fe7,1.2018857149636142,Analyze the performance of different materials used in aircraft construction.
adv_bb_0052_8e528e,1.2018857149636142,Analyze the performance of different materials used in aircraft construction.
adv_bb_0053_e82565,1.2018857149636142,Analyze the performance of different materials used in aircraft construction.
adv_bb_0054_bacb48,1.2018857149636142,Analyze the performance of different materials used in aircraft construction.
adv_bb_0055_534765,1.2018857149636142,Analyze the performance of different materials used in aircraft construction.
adv_bb_0056_bd885c,1.2018857149636142,Analyze the performance of different materials used in aircraft construction.
adv_bb_0057_b5e60a,1.2018857149636142,Analyze the performance of different materials used in aircraft construction.
adv_bb_0058_6b4481,1.2018857149636142,Analyze the performance of different materials used in aircraft construction.
adv_bb_0059_88b151,1.2018857149636142,Analyze the performance of different materials used in aircraft construction.
adv_bb_0060_248ede,1.2018857149636142,Analyze the performance of different materials used in aircraft construction.
adv_bb_0061_579f7c,1.2018857149636142,Analyze the performance of different materials used in aircraft construction.
adv_bb_0062_7d57db,1.2018857149636142,Analyze the performance of different materials used in aircraft construction.
adv_bb_0063_53a97d,1.2018857149636142,Analyze the performance of different materials used in aircraft construction.
adv_bb_0064_ecad5e,1.2018857149636142,Analyze the performance of different materials used in aircraft construction.
adv_bb_0065_c247fb,1.2018857149636142,Analyze the performance of different materials used in aircraft construction.
adv_bb_0066_8a3699,1.2018857149636142,Analyze the performance of different materials used in aircraft construction.
adv_bb_0067_707166,1.2018857149636142,Analyze the performance of different materials used in aircraft construction.
adv_bb_0068_a60862,1.2018857149636142,Analyze the performance of different materials used in aircraft construction.
adv_bb_0069_1ca3e6,1.2018857149636142,Analyze the performance of different materials used in aircraft construction.
adv_bb_0070_7545c9,1.2018857149636142,Analyze the performance of different materials used in aircraft construction.
adv_bb_0071_106f71,1.2018857149636142,Analyze the performance of different materials used in aircraft construction.
adv_bb_0072_a1830f,1.2018857149636142,Analyze the performance of different materials used in aircraft construction.
